id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,7076.25,Abierto,siniestro_invalido
4,14299,,274.63,Abierto,siniestro_invalido
5,12908,,9377.69,Rechazado,siniestro_invalido
6,5107,,10535.74,,siniestro_invalido
7,3379,,10513.3,Abierto,siniestro_invalido
9,18118,,,cerrado,siniestro_invalido
10,19947,,8801.03,Cerrado,siniestro_invalido
11,6448,,1.61938,Abierto,siniestro_invalido
12,4096,,,Rechazado,siniestro_invalido
13,3716,2025-07-13,-4274.39,Rechazado,siniestro_invalido
14,8260,,,,siniestro_invalido
15,19142,,14533.77,Abierto,siniestro_invalido
16,16312,,,ABIERTO,siniestro_invalido
17,2112,,11.99556,cerrado,siniestro_invalido
18,4445,,,,siniestro_invalido
19,5547,,5714.06,cerrado,siniestro_invalido
20,21508,,8867.02,,siniestro_invalido
21,8637,,4335.01,Abierto,siniestro_invalido
22,6924,,10436.86,Cerrado,siniestro_invalido
23,5261,,6636.22,Abierto,siniestro_invalido
25,719,,3257.92,,siniestro_invalido
26,7930,,1326.94,Abierto,siniestro_invalido
28,3123,,,Cerrado,siniestro_invalido
29,18397,,1485.06,ABIERTO,siniestro_invalido
30,20396,,,,siniestro_invalido
31,14500,,,Cerrado,siniestro_invalido
32,20349,,-6166.3,,siniestro_invalido
34,14393,,,Cerrado,siniestro_invalido
35,15273,,13959.68,cerrado,siniestro_invalido
37,504,,1.14351,Rechazado,siniestro_invalido
38,1202,,2154.09,Cerrado,siniestro_invalido
39,551,,,Abierto,siniestro_invalido
40,8220,,1.08173,cerrado,siniestro_invalido
41,4657,,9.2686,,siniestro_invalido
42,3586,,11247.07,,siniestro_invalido
43,11680,,10535.93,cerrado,siniestro_invalido
44,17906,,8.58031,ABIERTO,siniestro_invalido
46,2860,,,Rechazado,siniestro_invalido
47,6904,,7795.35,ABIERTO,siniestro_invalido
48,503,,3740.29,Rechazado,siniestro_invalido
49,12852,,4828.13,,siniestro_invalido
50,25778,,11437.5,,siniestro_invalido
51,1344,,14278.06,,siniestro_invalido
52,22187,,4886.0,Cerrado,siniestro_invalido
53,11106,,2182.44,Cerrado,siniestro_invalido
54,14544,,2132.56,cerrado,siniestro_invalido
55,19232,,5517.33,,siniestro_invalido
56,14610,,,Abierto,siniestro_invalido
57,11757,,3.21508,Cerrado,siniestro_invalido
58,9803,,,,siniestro_invalido
59,4806,,2856.71,Cerrado,siniestro_invalido
60,15711,,2916.65,Cerrado,siniestro_invalido
61,16070,,,,siniestro_invalido
62,14407,,8.01321,cerrado,siniestro_invalido
63,22281,,,,siniestro_invalido
64,10093,,11.00428,cerrado,siniestro_invalido
65,19562,,14057.33,cerrado,siniestro_invalido
68,4916,,5792.24,,siniestro_invalido
69,14892,,14508.66,,siniestro_invalido
70,18587,,5.91293,cerrado,siniestro_invalido
71,19836,,5377.67,,siniestro_invalido
72,23320,,7245.79,,siniestro_invalido
73,14099,,11459.27,Abierto,siniestro_invalido
74,3314,,14502.38,cerrado,siniestro_invalido
75,9867,,1.88827,ABIERTO,siniestro_invalido
76,18282,,,,siniestro_invalido
77,8700,,9.94891,ABIERTO,siniestro_invalido
78,4535,,8534.49,Cerrado,siniestro_invalido
